,titulares,medio,titular_lem
43,muerte de maradona: la médica de la prepaga dijo que nadie pidió una internación domiciliaria y complicó a luque y cosachov ,clarin,muerte maradona médico prepaga decir que pedir internación domiciliario complicar luque cosachov
44,llegó la hora de la rotación para la selección de scaloni en la copa américa: ¿messi irá al banco de suplentes? ,clarin,llegar hora rotación selección scaloni copa américo messi ir banco suplente
45,argentina y méxico se endurecen con nicaragua y convocaron a sus embajadores en managua ,clarin,argentino méxico endurecer nicaragua convocar embajador managua
46,dólar: de qué depende que siga tranquilo ,clarin,dólar depender que seguir tranquilo
47,cinthia fernández estalló al ver unas polémicas fotos de matías defederico ,clarin,cinthia fernández estallar ver polémica foto matía defederico
48,youtube: cómo activar el modo picture-in-picture para ver videos mientras se usan otras apps ,clarin,youtube activar modo picture-in-picture ver video mientras usar app
49,"covid: 'ninguna dosis de ninguna vacuna vence', afirmó la ministra carla vizzotti ",clarin,cover ' dosis vacuna vencer ' afirmar ministra carlo vizzotti
50,foo fighters reabrió el madison square garden tras 460 días ,clarin,foo fighters reabrir madison square garden 460 día
51,la bronca de la china suárez por la versión de un supuesto escándalo con benjamín vicuña ,clarin,bronca chino suárez versión supuesto escanda benjamín vicuño
52,ofensiva china golpea nuevamente al precio del bitcoin: cae más de 10% ,clarin,ofensiva chino golpear nuevamente precio bitcoin caer más 10/100
53,la nba y unos playoffs que dejarán un campeón inédito o uno 'vintage' ,clarin,nba playoffs dejar campeón inédito ' vintage '
54,"una cápsula eléctrica para viajar por agua, aire o tierra ",clarin,cápsula eléctrico viajar agua aire tierra
55,"el director del instituto gamaleya señaló que las dos dosis también son efectivas contra la variante delta, la más contagiosa del mundo",clarin,director instituto gamaleyo señalar que dos dosis también ser efectivo variante delta más contagioso mundo
56,una mujer policía murió de un balazo en su casa de moreno y sospechan de su novio ,clarin,mujer policía morir balazo casa moreno sospechar novio
57,cuáles fueron las películas más vistas en la reapertura de los cines ,clarin,ser película más visto reapertura cine
58,video: así fue la impresionante prueba de resistencia de portaaviones de los estados unidos ,clarin,video así ser impresionante prueba resistencia portaavión estado unido
59,martín tetaz: el riesgo del dólar en un delicado equilibrio ,clarin,martín teter riesgo dólar delicado equilibrio
60,tragedia en estados unidos: nueve chicos y un adulto murieron en un choque múltiple en medio de un temporal ,clarin,tragedia estado unido nueve chico adulto morir choque múltiple medio temporal
61,"argentina vs paraguay, por la copa américa: minuto a minuto, en directo ",clarin,argentino vs paraguay copa américo minuto minuto directo
62,vuelven los conciertos y las discotecas en francia: solo podrán asistir personas vacunadas o con pcr negativo ,clarin,volver concierto discoteca francia solo poder asistir persona vacunado pcr negativo
63,preocupa la salud de sergio víctor palma: se contagió de coronavirus y fue internado cuando se recuperaba de un acv y peleaba contra el parkinson ,clarin,preocupar salud sergio víctor palma contagiar coronaviru ser internar cuando recuperar acv pelear parkinson
64,silvina escudero contó que se besó con una famosa para cumplirle a una fantasía a su ex y reveló su nombre ,clarin,silvina escudero contar que besar famoso cumplir fantasía ex revelar nombre
65,el gobierno denunciará penalmente a 287 personas que no hicieron la cuarentena obligatoria al volver de viaje ,clarin,gobierno denunciar penalmente 287 persona no hacer cuarentena obligatorio volver viaje
66,copa américa: un encargado de seguridad de uruguay fue acusado de acosar sexualmente a una empleada de la conmebol y fue detenido ,clarin,copa américo encargado seguridad uruguay ser acusar acosar sexualmente empleada conmebol ser detener
67,"chile vs uruguay, por la copa américa: minuto a minuto, en directo ",clarin,chile vs uruguay copa américo minuto minuto directo
68,"analizan las últimas fotos de guadalupe lucero, la nena de 5 años desaparecida hace una semana en san luis ",clarin,analizar último foto guadalupe lucero nena 5 año desaparecido hacer semana san luis
69,"oportunidad única: una noche en casa vicens, primera obra de gaudí, por un euro ",clarin,oportunidad único noche casa vicens primero obra gaudí euro
70,"el covid y el invierno: filtros de aire y monitores de dióxido de carbono, dos soluciones para evitar el frío ",clarin,covid invierno filtro aire monitor dióxido carbono dos solución evitar frío
71,"cómo sigue la salud de susana giménez, internada por coronavirus ",clarin,seguir salud susana giménez internado coronaviru
72,"era futbolista, una lesión arruinó su carrera y se convirtió en galán de telenovela: el argentino saúl lisazo ",clarin,ser futbolista lesión arruinar carrera convertir galán telenovela argentino saúl lisazo
73,la variante delta de coronavirus ya abarca al 20% de los infectados en italia y avanza en 81 países ,clarin,variante delta coronaviru ya abarcar 20 infectado italia avanzar 81 país
74,qué cocinar esta semana: menú día por día del 21 al 27 de junio ,clarin,cocinar semana menú día día 21 27 junio
75,cuál es la íntima relación entre diabetes y depresión ,clarin,ser íntimo relación diabetes depresión
76,marcos galperin se sumó a un desafío viral y mostró sus últimas compras en mercadolibre ,clarin,marco galperin sumar desafío viral mostrar último compra mercadolibre
77,el descargo de georgina barbarossa tras revelar la supuesta final de 'masterchef celebrity' ,clarin,descargo georgina barbarosso revelar supuesto final ' masterchef celebrity '
78,rt @claringourmet: vino caliente y especiado: la receta europea para combatir el frío ,clarin,rt @claringourmet vino caliente especiado receta europeo combatir frío
79,"escandalosa denuncia de martín bello, protagonista de la serie de luis miguel, contra diego boneta ",clarin,escandaloso denuncia martín bello protagonista serie luis miguel diego boneto
80,"nicaragua: detienen a miguel mora, el quinto precandidato presidencial tras las rejas ",clarin,nicaragua detener miguel mora quinto precandidato presidencial reja
81,corrupción k: los condenaron por lavar 55 millones de dólares y dejaron la cárcel sin pagar un peso ,clarin,corrupción k condenar lavar 55 millón dólar dejar cárcel pagar peso
82,"llegaron thunder bolt y saint leo bolt, los gemelos de usain bolt, el hombre más rápido del mundo ",clarin,llegar thunder bolt saint leo bolt gemelo usain bolt hombre más rápido mundo
83,juana repetto dio a luz a su hijo: cómo fue su parto humanizado ,clarin,juana repetto dar luz hijo ser parto humanizado
84,la rae le dará certificados de calidad a las máquinas que hablen 'bien español' ,clarin,rae dar certificado calidad máquina hablar ' bien español '
85,"quién es cecilia nicolini, la asesora presidencial que escaló con las vacunas y que tiene más poder que muchos ministros ",clarin,ser cecilia nicolini asesora presidencial escalar vacuna tener más poder que ministro
86,israel puso a la argentina en la lista de países de 'máximo riesgo' por los casos de coronavirus ,clarin,israel poner argentino lista país ' máximo riesgo ' caso coronaviru
87,¿suicidio en los bosques de bélgica? hallan muerto al 'rambo belga' tras un mes de cacería ,clarin,suicidio bosque bélgica hallar muerto ' rambo belga ' mes cacería
88,indagan a la coordinadora de la internación domiciliaria de diego maradona ,clarin,indagar coordinadora internación domiciliario diego maradono
89,"coronavirus en la india: hartos del confinamiento, los indios acuden en masa a los centros comerciales y mercados ",clarin,coronaviru india harto confinamiento indio acudir masa centro comercial mercado
90,llegaron al país más de un millón de vacunas de astrazeneca y se espera un lote de sinopharm para la tarde ,clarin,llegar país más millón vacuna astrazeneca esperar lote sinophar tarde
91,"'mono', el narco colombiano que se fugó en la patagonia y teme por una bala ",clarin,' mono ' narco colombiano fugarse patagonia temer bala
92,jubilados: anses volvió a suspende la 'fe de vida' para cobrar haberes ,clarin,jubilado anse volver suspender ' fe vida ' cobrar haber
93,españa anunció que el martes indultará a los nueve líderes independentistas de cataluña ,clarin,españa anunciar que martes indultar nueve líder independentista cataluña
94,"ranking atp: sin cambios ni argentinos en el top ten, sigue la caída de del potro mientras se esfuerza por volver a jugar ",clarin,ranking atpo cambio argentino top tar seguir caída potro mientras esforzar volver jugar
95,edificios inclinados: un mundo más allá de la torre de pisa ,clarin,edificio inclinado mundo más allá torre pisar
96,las tres nuevas funciones que whatsapp lanzará en los próximos meses ,clarin,tres nuevo función whatsar lanzar próximo mes
97,cómo vivió carlos gardel la final del mundial del 30 ,clarin,vivir car gardel final mundial 30
98,trabajo y turismo: cuál es el plan de la ciudad de buenos aires para atraer a los nómades digitales ,clarin,trabajo turismo ser plan ciudad buen aire atraer nómade digital
99,"¿quién es ""doña lorenza sola""?: vive a más de 4.000 metros de altura, tiene 84 años y fue trasladada tras descompensarse",cronica,ser doña lorenza solo vivir más 4000 metro altura tener 84 año ser trasladar descompensar
100,cepa delta: brasil confirmó el segundo fallecido por la variante de covid,cronica,cepa delta brasil confirmar segundo fallecido variante covid
101,una mujer sufrió dolores en su nariz durante 37 años y un hisopado reveló el curioso motivo,cronica,mujer sufrir dolor nariz 37 año hisopado revelar curioso motivo
102,¿genialidad o tortura?: crearon un dispositivo que ayuda a adelgazar cerrando los dientes con un candado,cronica,genialidad tortura crear dispositivo ayudar adelgazar cerrar diente candado
103,derrumbe en miami: ya son 10 las víctimas fatales,cronica,derrumbe miami ya ser 10 víctima fatal
104,"sexo: la frase que siempre funciona en la cama, según expertos",cronica,sexo frase siempre funcionar cama experto
105,vacuna covid: más del 35% de los argentinos ya recibió la primera dosis,cronica,vacuna covid más 35/100 argentino ya recibir primero dosis
106,capturan a policía retirado que era buscado por violar a su sobrina,cronica,capturar policía retirado que ser buscar violar sobrina
107,el peligroso avance de la variante delta en el mundo: cifras récords y nuevas restricciones,cronica,peligroso avance variante delta mundo cifra récord nuevo restricción
108,"viviana canosa, en contra del lenguaje inclusivo: ""es solo para la pelotud..., me hago cargo""  la conductora sorprendió al hacer picantes declaraciones con respecto la lengua sin género.",cronica,viviana canoso contra lenguaje inclusivo ser solo pelotud hacer cargo conductora sorprender hacer picante declaración respecto lengua género
109,yao cabrera presentó a burlando como su abogado y alimentó el fuego contra maidana:ya nadie se puede arrepentir,cronica,cabrera presentar burlar como abogado alimentar fuego maidana ya poder arrepentirse
110,whatsapp web: ¿por qué se desconecta y cómo evitarlo?,cronica,whatsapp web desconectar evitar
111,covid y embarazo: respuestas a las dudas sobre la vacunación,cronica,covid embarazo respuesta duda vacunación
112,"vivan los novios: ¡se casó el doctor milagro!  taner ílmez, el actor de la exitosa serie turca llevó a su pareja al altar y dio el sí.",cronica,vivar novio casar doctor milagro taner ílmez actor exitoso serie turco llevar pareja altar dar
113,"¡el festejo de los famosos en el dia del orgullo lgtbiq+!  flor de la v, lizy tagliani, china suárez, jey mammón y más figuras celebraron la gran fecha con posteos en sus redes sociales. ",cronica,festejo famoso dia orgullo lgtbiq flor v lizy tagliani chino suárez jey mammón más figura celebrar gran fecha posteo red social
114,murió willy crook luego de permanecer en coma tras sufrir un acv  el músico de 55 años había padecido de un accidente cerebro vascular por el que fue inducido al coma farmacológico. pero por su delicado cuadro de salud falleció. ,cronica,morir willy crook luego permanecer coma sufrir acv músico 55 año haber padecer accidente cerebro vascular ser inducir coma farmacológico delicado cuadro salud fallecer
115,así increparon a daniel filmus en medio de un vuelo,cronica,así increpar daniel filmu medio vuelo
116,crimen del pescador en bahía blanca: 15 años de prisión para dos de los acusados,cronica,crimen pescador bahía blanco 15 año prisión dos acusado
117,ideas para una alimentación saludable en invierno,cronica,idea alimentación saludable invierno
118,"explosiva confesión de ximena capristo sobre gustavo conti: ""no lo aguanto más, está todo el día mirando mujeres""  tras el escándalo de infidelidad del actor, la mediática contó cómo se siente en la actualidad e insistió abrir la pareja.",cronica,explosivo confesión ximena capristo gustavo conti no aguantar más estar día mirar mujer escándalo infidelidad actor mediático contar sentir actualidad insistir abrir pareja
119,detienen a cuatro sospechosos por el doble crimen de los hermanos en mendoza,cronica,detener cuatro sospechoso doble crimen hermano mendoza
120,"polémica por la participación de jacinta sandoval en ""la voz"": es conocida de stefi roitman  después de que la joven eligiera a ricardo montaner como su coach, se conoció que es amiga de la conductora virtual.",cronica,polémica participación jacinta sandoval voz ser conocer stefi roitman después que joven elegir ricardo montaner como coach conocer que ser amiga conductora virtual
121,mauricio saldívar aseguró que podría nevar en la plata,cronica,mauricio saldívar asegurar que poder nevar plata
122,"leopoldo luque: ""jamás me representé la posibilidad de muerte de maradona""",cronica,leopoldo luque jamás representar posibilidad muerte maradona
123,avanza la demanda judicial de alberto fernández a patricia bullrich por sus dichos sobre pfizer,cronica,avanzar demanda judicial alberto fernández patricia bullrich dicho pfizer
124,"argentina podrá exportar bovinos, ovinos y caprinos a arabia saudita",cronica,argentino poder exportar bovino ovino caprino arabia saudito
125,"¿cómo es la mansión de 2 millones de dólares que wanda nara le reclama a maxi lópez?  a cambio de la gran deuda del futbolista por la manutención de sus hijos, la empresaria le exigió la lujosa propiedad que compartían en santa bárbara.",cronica,ser mansión 2 millón dólar wanda nara reclamar maxi lópez cambio gran deuda futbolista manutención hijo empresaria exigir lujoso propiedad compartir santo bárbaro
126,caso guadalupe lucero: cinco detenidos y once allanamientos,cronica,caso guadalupe lucero cinco detenido once allanamiento
127,"quiniela de la provincia: resultado de la vespertina de hoy, lunes 28 de junio",cronica,quiniela provincia resultado vespertina hoy lunes 28 junio
128,"quiniela de la ciudad: resultado de la vespertina de hoy, lunes 28 de junio",cronica,quiniela ciudad resultado vespertina hoy lunes 28 junio
129,mauricio macri fue imputado por supuesto enriquecimiento ilícito,cronica,mauricio macri ser imputado supuesto enriquecimiento ilícito
130,así extraditaron al ex represor chileno klug rivera,cronica,así extraditar ex represor chileno klug rivera
131,los signos que se enfrentarán a grandes cambios ,cronica,signo enfrentar grande cambio
132,la infidelidad le costó a matt hancock su puesto en el ministerio de salud británico,cronica,infidelidad costar matt hancock puesto ministerio salud británico
133,detienen a un hombre con más de 72 kilos de cocaína,cronica,detener hombre más 72 kilo cocaína
134,"cayó un policía acusado de vender droga: persecución, tiros y choque",cronica,caer policía acusado vender droga persecución tiro choque
135,caba: extienden por dos meses la moratoria para deudores de patentes y abl,cronica,caba extender dos mes moratoria deudor patente abl
136,"yao cabrera sobre el combate con el chino maidana: ""él no quiere hacer un show, quiere pelear de verdad""",cronica,cabrera combate chino maidano no querer hacer show querer pelear verdad
137,"sabrina rojas, tras su separación de luciano castro: ""a lo mejor volvemos""  la actriz contó detalles de su vínculo con el padre de sus hijos a poco más de un mes de conocerse su ruptura y sorprendió con sus dichos.",cronica,sabrina rojo separación luciano castro mejor volver actriz contar detalle vínculo padre hijo poco más mes conocer ruptura sorprender dicho
138,"cae mujer policía que integraba banda de gitanos: robaban autos y los vendían en redes sociales. ¿cómo ""lavaban"" el dinero sucio?",cronica,caer mujer policía integrar banda gitano robar auto vender red social lavar dinero sucio
139,la receta para hacer tres tipos de ñoquis: ¿por qué se comen los 29 de cada mes? ,cronica,receta hacer tres tipo ñoquis comer 29 mes
140,detalles aberrantes sobre la autopsia del almacenero brutalmente asesinado con un nunchaku,cronica,detalle aberrante autopsia almacenero brutalmente asesinado nunchaku
141,bonaerenses que vuelvan del exterior deberán quedarse 4 días en un hotel con el costo a su cargo,cronica,bonaerense volver exterior deber quedar 4 día hotel costo cargo
142,whatsapp: así funciona la herramienta para comprar y enviar dinero a tus contactos,cronica,whatsapp así funcionar herramienta comprar enviar dinero contacto
143,?vuelos cancelados: qué hacer con los pasajes,cronica,vuelo cancelado hacer pasaje
144,cae mujer policía que integraba banda de gitanos: robaban autos y los vendían en redes sociales,cronica,caer mujer policía integrar banda gitano robar auto vender red social
145,mayores de 18 años con comorbilidades podrán acercase a cualquier vacunatorio bonaerense sin turno para recibir la primera dosis,cronica,mayor 18 año comorbilidad poder acercar vacunatorio bonaerense turno recibir primero dosis
146,el insólito motivo que habría desencadenado el vuelco fatal del micro en chascomús en el que murieron dos personas y resultó herida una veintena,cronica,insólito motivo haber desencadenar vuelco fatal micro chascomús morir dos persona resultar herido veintena
147,"fue galán de hollywood, rechazó protagónicos en ""titanic"" y ""hombres de negro"", y ahora vende pizza",cronica,ser galán hollywood rechazar protagónico titanic hombre negro ahora vender pizza
148,"la estrategia de guido kaczka para ""bienvenidos a bordo""",cronica,estrategia guido kaczko bienvenido bordo
149,whatsapp: ¿cómo funciona la herramienta para comprar y enviar dinero a tus contactos?,cronica,whatsapp funcionar herramienta comprar enviar dinero contacto
150,laura novoa reveló cuánto cobró por conducir el homenaje a las víctimas del coronavirus  en las redes sociales se viralizó que a la actriz le pagaron 475 mil pesos por su participación y ella blanqueó la cifra.,cronica,laura novo revelar cobrar conducir homenaje víctima coronaviru red social viralizar que actriz pagar 475 mil peso participación blanquear cifra
151,whatsapp: una nueva función permite comprar y enviar dinero a los contactos,cronica,whatsapp nuevo función permitir comprar enviar dinero contacto
152,el insólito motivo que habría desencadenado el vuelco fatal del micro en chascomús,cronica,insólito motivo haber desencadenar vuelco fatal micro chascomús
153,la indignante declaración del sujeto que masacró a puñaladas y a golpes de nunchaku a un almacenero  porque no le quiso fiar una cerveza,cronica,indignante declaración sujeto masacrar puñalada golpe nunchaku almacenero porque no querer fiar cerveza
154,"la receta para hacer ñoquis con estofado, rellenos y de calabaza",cronica,receta hacer ñoquis estofado relleno calabaza
155,"florencia carignano: ""restringimos vuelos porque estamos preocupados por la entrada de la variante delta""",cronica,florencia carignano restringir vuelo porque estar preocupado entrada variante delta
156,"""no me escrachen, soy casado, estoy con mi amante"": el aberrante intento para engañar a la policía de un sujeto que estaba abusando a una nena en una camioneta",cronica,no escrachar ser casado estar amante aberrante intento engañar policía sujeto estar abusar nena camioneta
157,macabro: asesinaron a golpes y cuchilladas a un abogado en su propia casa,cronica,macabro asesinar golpe cuchillada abogado casa
158,"¿quién es victoria pardo, la mujer que desapareció mientras hacía kitesurf en san clemente? ¿cómo sigue su búsqueda?",cronica,ser victoria pardo mujer desaparecer mientras hacer kitesurf san clemente seguir búsqueda
159,"hallan asesinado a golpes y cuchilladas a un abogado en su propia casa, de donde faltó dinero y otros objetos de valor. sin embargo... ¿se trató de un simple robo?",cronica,hallar asesinado golpe cuchillada abogado casa faltar dinero objeto valor embargo tratar simple robo
160,la única científica extranjera del laboratorio de wuhan rompió el silencio: ¿qué dijo sobre el origen del coronavirus?,cronica,único científica extranjero laboratorio wuhan romper silencio decir origen coronaviru
161,aberrante: asesinaron a golpes y cuchillazos a abogado en su propia casa,cronica,aberrante asesinar golpe cuchillazo abogado casa
162,"¿quién es victoria pardo, la mujer que desapareció mientras hacía kitesurf en san clemente?",cronica,ser victoria pardo mujer desaparecer mientras hacer kitesurf san clemente
163,"francisco benítez, el cantante tartamudo que emocionó al jurado de ""la voz argentina""  el joven cordobés de 22 años hizo llorar a lali, ricardo montaner, sus hijos mau y ricky y a soledad pastorutti con su historia de vida. ¡mirá!",cronica,francisco benítez cantante tartamudo emocionar jurado voz argentino joven cordobés 22 año hacer llorar lali ricardo montaner hijo mau ricky soledad pastorutti historia vida mirá
164,"abusaba de una nena en la camioneta y llegó la policía: ""no me escrachen, soy casado, estoy con mi amante""",cronica,abusar nena camioneta llegar policía no escrachar ser casado estar amante
165,roberto piazza tuvo que poner en venta su casa por problemas económicos  el diseñador compartió un duro descargo por la grave situación financiera que atraviesa en medio de las restricciones por coronavirus y las cargas impositivas.,cronica,roberto piazza tener que poner venta casa problema económico diseñador compartir duro descargo grave situación financiero atravesar medio restricción coronaviru carga impositivo
166,la indignante declaración del sujeto que masacró a un almacenero porque no le fió una cerveza,cronica,indignante declaración sujeto masacrar almacenero porque no fiar cerveza
167,dos años sin héctor ricardo garcía,cronica,dos año héctor ricardo garcir
168,el desconsolado llanto de una mujer estafada por dos millones de pesos: ¿qué le pasó?,cronica,desconsolado llanto mujer estafado dos millón peso pasar
169,la única científica extranjera del laboratorio de wuhan rompió el silencio: ¿el covid salió de ahí?,cronica,único científica extranjero laboratorio wuhan romper silencio covid salir ahí
170,"yao cabrera habló de su pelea contra el ""chino"" maidana, no se achica y promete una definición por nocaut",cronica,yao cabrera hablar pelea chino maidano no achicar prometer definición nocaut
171,"""la voz argentina"" destrozó a ""periodismo para todos"" en el rating  en su primer domingo al aire, la competencia de canto conducida por marley logró imponerse contra el ciclo periodístico de jorge lanata. ",cronica,voz argentino destrozar periodismo rating primero domingo aire competencia canto conducido marley lograr imponer ciclo periodístico jorge lanata
172,una mujer sufrió dolores en su nariz durante 37 años: un hisopado para detectar covid-19 reveló el curioso motivo: ¿qué le pasó?,cronica,mujer sufrir dolor nariz 37 año hisopado detectar covid-19 revelar curioso motivo pasar
173,"tragedia en chascomús: 2 muertos y 20 heridos al volcar un micro. ocurrió en el kilómetro 134 de la autovía 2, sentido a la capital federal",cronica,tragedia chascomús 2 muerto 20 herido volcar micro ocurrir kilómetro 134 autovía 2 sentido capital federal
174,tengo algo para contarte... ¡más de 1.100 millones de pesos buscan dueño!,cronica,tener contar más 1100 millón peso buscar dueño
175,"el delantero le dijo adiós al pueblo sabalero con un mensaje particular. no te pierdas los detalles, en la nota",cronica,delantero decir adiós pueblo sabalero mensaje particular no perder detalle nota
176,el calendario de pagos de  del martes 29 de junio. ¿quiénes cobran hoy?,cronica,calendario pago martes 29 junio cobrar hoy
177,tragedia en chascomús: 2 muertos y 20 heridos al volcar un micro,cronica,tragedia chascomús 2 muerto 20 herido volcar micro
178,"malestar por el levantamiento del programa de mariana fabbiani  según informó la pavada de diario crónica, el final abrupto de ""lo de mariana"" no le cayó para nada bien a la conductora. ",cronica,malestar levantamiento programa mariana fabbiani según informar pavada diario crónica final abrupto mariana no caer bien conductora
179,poceados: ¡más de 1.100 millones de pesos buscan dueño!,cronica,poceado más 1100 millón peso buscar dueño
180,el delantero de psg fue víctima de las clásicas cargadas en la web tras fallar el penal decisivo ante suiza.,cronica,delantero psg ser víctima clásico cargado web fallar penal decisivo suiza
181,duros detalles del abuso a maría becerra: 5 compañeros la atacaron en el baño del colegio,cronica,duro detalle abuso maría becerro 5 compañero atacar baño colegio
182,"reto viral: en la imagen hay cuatro pingüinos con sombrero, ¿podes hallarlos en 15 segundos?",cronica,reto viral imagen haber cuatro pingüino sombrero poder hallar 15 segundo
